created_at,unit_index,hour_of_day,day_of_week,adset_name,adset_impressions,adset_impressions_diff,adset_settings_total_budget,adset_settings_daily_budget,adset_settings_maximum_daily_impressions,adset_settings_maximum_lifetime_impressions,adset_settings_runtime_in_hours,adset_settings_remaining_hours,adset_settings_running_hours,adset_targetings_total_population,adset_settings_maximum_cpm,adset_targetings_frequency_capping_requests,adset_settings_bidding_strategy,adset_settings_pacing_type
2024-07-17 03:05:05.498,1,3,Wednesday,AdBundle,360694.0,0.0,272250,19446,72128.0,1009800.0,336,210,125,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 03:05:05.498,0,3,Wednesday,Billboard,90728.0,0.0,295120,21080,18068.0,252960.0,336,210,125,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 04:07:24.149,0,4,Wednesday,Billboard,91189.0,461.0,295120,21080,18068.0,252960.0,336,209,126,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 04:07:24.149,1,4,Wednesday,AdBundle,361878.0,1184.0,272250,19446,72128.0,1009800.0,336,209,126,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 05:04:54.586,1,5,Wednesday,AdBundle,361878.0,0.0,272250,19446,72128.0,1009800.0,336,208,127,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 05:04:54.586,0,5,Wednesday,Billboard,91189.0,0.0,295120,21080,18068.0,252960.0,336,208,127,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 06:04:54.048,0,6,Wednesday,Billboard,91429.0,240.0,295120,21080,18068.0,252960.0,336,207,128,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 06:04:54.048,1,6,Wednesday,AdBundle,362279.0,401.0,272250,19446,72128.0,1009800.0,336,207,128,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 07:05:22.160,1,7,Wednesday,AdBundle,363211.0,932.0,272250,19446,72128.0,1009800.0,336,206,129,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 07:05:22.160,0,7,Wednesday,Billboard,91921.0,492.0,295120,21080,18068.0,252960.0,336,206,129,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 08:04:53.452,0,8,Wednesday,Billboard,92879.0,958.0,295120,21080,18068.0,252960.0,336,205,130,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
